Entity,Day,"COVID-19 doses (daily, 7-day average, per million people)"
India,2021-07-25,2686.615
India,2021-07-26,3013.2397
India,2021-07-27,3075.1973
India,2021-07-28,3292.767
India,2021-07-29,3268.8762
India,2021-07-30,3371.0508
India,2021-07-31,3379.467
India,2021-08-01,3710.942
India,2021-08-02,3692.4082
India,2021-08-03,3921.6333
India,2021-08-04,3872.137
India,2021-08-05,3938.0625
India,2021-08-06,3957.8352
India,2021-08-07,4002.7644
India,2021-08-08,3652.1604
India,2021-08-09,3582.4111
India,2021-08-10,3386.8591
India,2021-08-11,3440.4543
India,2021-08-12,3467.929
India,2021-08-13,3525.7993
India,2021-08-14,3711.7595
India,2021-08-15,3860.3477
India,2021-08-16,3609.9324
India,2021-08-17,3752.2483
India,2021-08-18,3856.5486
India,2021-08-19,3674.6226
India,2021-08-20,3709.7314
India,2021-08-21,3259.1353
India,2021-08-22,3366.2844
India,2021-08-23,3178.9248
India,2021-08-24,3228.233
India,2021-08-25,3585.073
India,2021-08-26,3787.898
India,2021-08-27,4242.8564
India,2021-08-28,4960.827
India,2021-08-29,5193.047
India,2021-08-30,5719.2417
India,2021-08-31,5619.1553
India,2021-09-01,6379.4263
India,2021-09-02,6552.8823
India,2021-09-03,6024.718
India,2021-09-04,5199.4785
India,2021-09-05,5204.235
India,2021-09-06,4925.65
India,2021-09-07,5499.0366
India,2021-09-08,4908.206
India,2021-09-09,5124.755
India,2021-09-10,4856.6826
India,2021-09-11,5580.6987
India,2021-09-12,5588.578
India,2021-09-13,6196.757
India,2021-09-14,5316.282
India,2021-09-15,5091.2104
India,2021-09-16,5054.279
India,2021-09-17,5339.078
India,2021-09-18,6272.4375
India,2021-09-19,6464.302
India,2021-09-20,6208.4766
India,2021-09-21,6927.486
India,2021-09-22,6609.291
India,2021-09-23,6604.374
India,2021-09-24,7042.1157
India,2021-09-25,5626.5576
India,2021-09-26,5112.572
India,2021-09-27,5666.648
India,2021-09-28,5152.194
India,2021-09-29,5251.021
India,2021-09-30,4929.4087
India,2021-10-01,4565.077
India,2021-10-02,4895.546
India,2021-10-03,5047.496
India,2021-10-04,4239.9653
India,2021-10-05,4498.372
India,2021-10-06,4393.13
India,2021-10-07,4083.8564
India,2021-10-08,4210.858
India,2021-10-09,4212.2476
India,2021-10-10,4508.371
India,2021-10-11,4392.4565
India,2021-10-12,4330.5815
India,2021-10-13,4247.099
India,2021-10-14,4127.916
India,2021-10-15,3602.3066
India,2021-10-16,2971.7715
India,2021-10-17,2526.0532
India,2021-10-18,2409.9753
India,2021-10-19,2583.0347
India,2021-10-20,3156.4246
India,2021-10-21,3491.9192
India,2021-10-22,3886.787
India,2021-10-23,4104.1733
India,2021-10-24,4602.458
India,2021-10-25,4529.503
India,2021-10-26,4383.363
India,2021-10-27,3925.5889
India,2021-10-28,3934.0942
India,2021-10-29,4185.521
India,2021-10-30,4495.1064
India,2021-10-31,4045.265
India,2021-11-01,4360.0464
India,2021-11-02,3895.4414
India,2021-11-03,3857.6023
India,2021-11-04,3472.5315
India,2021-11-05,2614.26
India,2021-11-06,2173.5945
India,2021-11-07,2055.6235
India,2021-11-08,2062.7166
India,2021-11-09,2247.903
India,2021-11-10,2279.719
India,2021-11-11,2572.496
India,2021-11-12,3370.3967
India,2021-11-13,3908.9019
India,2021-11-14,3983.4937
India,2021-11-15,3883.1028
India,2021-11-16,4163.182
India,2021-11-17,4329.5747
India,2021-11-18,4611.2915
India,2021-11-19,4226.538
India,2021-11-20,4460.2944
India,2021-11-21,4526.755
India,2021-11-22,4896.9805
India,2021-11-23,5037
India,2021-11-24,5287.9053
India,2021-11-25,4985.1616
India,2021-11-26,5728.8774
India,2021-11-27,4891.584
India,2021-11-28,5525.9253
India,2021-11-29,5276.491
India,2021-11-30,5322.523
India,2021-12-01,5186.2236
India,2021-12-02,5746.4404
India,2021-12-03,5108.252
India,2021-12-04,6144.862
India,2021-12-05,5569.1587
India,2021-12-06,5534.803
India,2021-12-07,5502.8345
India,2021-12-08,5447.796
India,2021-12-09,5249.3813
India,2021-12-10,5075.892
India,2021-12-11,5380.6577
India,2021-12-12,5275.192
India,2021-12-13,5186.179
India,2021-12-14,5444.92
India,2021-12-15,5272.6475
India,2021-12-16,4835.3267
India,2021-12-17,5310.887
India,2021-12-18,4566.387
India,2021-12-19,4512.9087
India,2021-12-20,4485.648
India,2021-12-21,4232.3516
India,2021-12-22,3865.0095
India,2021-12-23,4182.2207
India,2021-12-24,3927.62
India,2021-12-25,4101.4688
India,2021-12-26,3838.7336
India,2021-12-27,3830.8352
India,2021-12-28,3763.1033
India,2021-12-29,4424.306
India,2021-12-30,4058.565
India,2021-12-31,4440.6714
India,2022-01-01,4017.655
India,2022-01-02,4194.707
India,2022-01-03,4618.082
India,2022-01-04,4636.2666
India,2022-01-05,4711.1943
India,2022-01-06,5339.1187
India,2022-01-07,5685.1777
India,2022-01-08,5405.674
India,2022-01-09,6125.404
India,2022-01-10,5982.843
India,2022-01-11,6565.6367
India,2022-01-12,6223.089
India,2022-01-13,6206.5464
India,2022-01-14,5099.902
India,2022-01-15,5775.842
India,2022-01-16,5310.776
India,2022-01-17,5175.459
India,2022-01-18,3824.8643
India,2022-01-19,4826.0137
India,2022-01-20,4651.658
India,2022-01-21,5325.1816
India,2022-01-22,5156.3193
India,2022-01-23,5162.8696
India,2022-01-24,4766.159
India,2022-01-25,5442.597
India,2022-01-26,4382.862
India,2022-01-27,3886.4573
India,2022-01-28,3575.979
India,2022-01-29,3344.6887
India,2022-01-30,3522.8862
India,2022-01-31,4145.7554
India,2022-02-01,4094.1772
India,2022-02-02,4093.7375
India,2022-02-03,4249.8696
India,2022-02-04,4184.6714
India,2022-02-05,4281.0225
India,2022-02-06,3860.913
India,2022-02-07,3133.1052
India,2022-02-08,3158.512
India,2022-02-09,3306.577
India,2022-02-10,2894.4854
India,2022-02-11,3319.7937
India,2022-02-12,3026.0803
India,2022-02-13,3209.6587
India,2022-02-14,3375.5994
India,2022-02-15,3346.319
India,2022-02-16,2868.993
India,2022-02-17,3360.7217
India,2022-02-18,2782.4968
India,2022-02-19,2815.8218
India,2022-02-20,2555.1045
India,2022-02-21,2611.8967
India,2022-02-22,2350.606
India,2022-02-23,2309.1763
India,2022-02-24,2108.545
India,2022-02-25,2070.5532
India,2022-02-26,2089.6501
India,2022-02-27,2036.2904
India,2022-02-28,1943.0411
India,2022-03-01,1718.9166
